,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,NVDA,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,NVIDIA Corporation,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,257.25,,+1.84,+0.72%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"635,408M",147.65,1.76,,,
,,,,,,36 Months
,,,,,,
,,,,,,
,NVDA,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Mar 18, 2020",50.02,52.49,45.17,50.71,"21,856,657"
,"Mar 19, 2020",50.49,54.18,48.35,53.24,"19,137,847"
,"Mar 20, 2020",54.75,57.58,51.28,51.44,"20,115,854"
,"Mar 23, 2020",51.43,54.12,49.63,53.17,"16,096,866"
,"Mar 24, 2020",57.25,63.17,57.01,62.30,"27,541,095"
,"Mar 25, 2020",63.45,65.46,60.92,61.41,"19,835,767"
,"Mar 26, 2020",63.49,65.56,62.50,64.31,"17,439,692"
,"Mar 27, 2020",62.50,65.78,62.17,63.18,"15,970,744"
,"Mar 30, 2020",63.84,66.49,63.40,66.40,"15,056,253"
,"Mar 31, 2020",66.80,68.85,64.44,65.90,"23,749,014"
,"Apr 1, 2020",63.91,65.38,60.32,60.77,"16,422,828"
,"Apr 2, 2020",61.06,64.00,60.58,63.87,"16,894,113"
,"Apr 3, 2020",63.49,63.91,59.60,60.98,"16,580,346"
,"Apr 6, 2020",63.81,67.47,63.23,67.10,"18,197,062"
,"Apr 7, 2020",69.33,69.56,64.33,64.76,"19,613,047"
,"Apr 8, 2020",65.85,66.99,65.15,66.74,"13,561,113"
,"Apr 9, 2020",68.00,68.23,65.11,65.74,"13,156,195"
,"Apr 13, 2020",65.14,67.55,64.25,67.46,"9,960,182"
,"Apr 14, 2020",68.75,71.33,68.47,70.99,"13,273,667"
,"Apr 15, 2020",69.30,71.04,68.85,70.21,"9,153,721"
,"Apr 16, 2020",71.77,74.75,71.64,73.68,"18,640,510"
,"Apr 17, 2020",74.50,74.72,71.74,73.08,"13,478,049"
,"Apr 20, 2020",71.81,73.38,71.32,71.76,"11,234,705"
,"Apr 21, 2020",70.58,71.19,66.78,67.38,"18,378,996"
,"Apr 22, 2020",69.31,71.97,68.85,71.54,"12,118,228"
,"Apr 23, 2020",71.96,73.28,70.75,71.00,"10,603,988"
,"Apr 24, 2020",70.90,72.42,70.15,72.40,"8,816,137"
,"Apr 27, 2020",73.75,75.88,73.50,74.27,"11,984,699"
,"Apr 28, 2020",75.75,76.05,72.79,72.84,"11,072,603"
,"Apr 29, 2020",74.19,75.15,73.44,74.61,"9,479,047"
,"Apr 30, 2020",74.07,74.61,72.93,73.07,"9,397,943"
,"May 1, 2020",71.09,72.22,70.21,70.69,"8,552,445"
,"May 4, 2020",70.22,72.96,70.22,72.82,"7,938,880"
,"May 5, 2020",73.87,75.07,72.82,73.44,"9,222,391"
,"May 6, 2020",74.23,75.50,73.85,74.45,"8,086,639"
,"May 7, 2020",75.85,76.85,75.33,76.22,"9,343,263"
,"May 8, 2020",76.94,78.19,76.60,78.13,"8,497,678"
,"May 11, 2020",78.08,81.13,77.79,80.66,"11,726,504"
,"May 12, 2020",81.24,81.72,77.93,78.03,"12,326,482"
,"May 13, 2020",79.18,80.79,75.95,77.80,"15,646,252"
,"May 14, 2020",78.42,80.36,76.88,80.31,"15,057,809"
,"May 15, 2020",78.90,85.01,78.74,84.91,"24,691,543"
,"May 18, 2020",87.61,89.17,86.81,87.50,"19,410,086"
,"May 19, 2020",87.90,90.88,87.63,88.06,"17,933,049"
,"May 20, 2020",89.91,90.43,88.89,89.70,"14,688,405"
,"May 21, 2020",90.52,90.52,87.38,87.75,"19,026,741"
,"May 22, 2020",88.25,90.93,87.13,90.26,"25,969,125"
,"May 26, 2020",91.57,91.82,86.72,87.18,"19,269,476"
,"May 27, 2020",86.25,86.33,79.97,85.25,"29,397,306"
,"May 28, 2020",84.12,87.61,83.79,84.87,"18,403,204"
,"May 29, 2020",85.55,88.76,84.85,88.76,"18,647,994"
,"Jun 1, 2020",88.33,88.41,86.90,88.06,"9,762,775"
,"Jun 2, 2020",87.96,88.37,86.58,88.25,"9,783,014"
,"Jun 3, 2020",88.22,88.66,87.00,87.70,"9,135,972"
,"Jun 4, 2020",87.28,89.43,86.78,87.67,"10,606,960"
,"Jun 5, 2020",87.95,89.97,87.08,89.20,"12,043,651"
,"Jun 8, 2020",88.77,88.90,86.86,88.05,"9,693,431"
,"Jun 9, 2020",88.00,91.10,87.51,90.46,"11,712,221"
,"Jun 10, 2020",91.68,95.00,91.54,93.67,"15,804,537"
,"Jun 11, 2020",91.50,92.61,87.86,87.96,"14,591,256"
,"Jun 12, 2020",91.63,91.87,87.03,89.33,"14,272,704"
,"Jun 15, 2020",88.15,91.82,87.44,91.74,"10,000,054"
,"Jun 16, 2020",92.25,92.67,88.39,90.69,"13,392,875"
,"Jun 17, 2020",91.14,92.99,90.70,92.36,"10,207,641"
,"Jun 18, 2020",92.27,92.83,91.15,92.18,"6,360,238"
,"Jun 19, 2020",92.43,94.45,92.27,92.61,"13,104,013"
,"Jun 22, 2020",93.00,95.31,92.73,95.27,"9,961,662"
,"Jun 23, 2020",95.51,96.43,94.08,94.50,"9,377,685"
,"Jun 24, 2020",94.76,95.56,91.45,92.36,"11,234,272"
